window,scenario,method,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,off,naive,0.06927659574468059,0.033810874704491574,0.7182581100435974,0.14762136762259734,0.13584924425949788,0.09492330948188267,0.031415945895520464,14.137624931582538,24.34678437340292,1.3327295213205976,1.3997964878850793,0.027232409134583965,0.027232409134583965,0.08976983226922125,0.0,0.0,0.005902311759306262,0.034240974070484376
training,off,hybrid,0.7393711583924356,0.685423167848701,0.2887398634073599,0.0570633428036418,0.13569061012084682,0.09485498801976096,0.03141725518173625,13.30945862608909,24.938480903212103,1.000109378167812,1.0549357519546985,0.02233493363846974,0.0223342705828973,0.03584795245129878,4.0189125295508273e-5,0.004728132387706802,0.008015677536584904,0.04739849814276363
training,market_only,naive,0.06283451536643012,0.031808510638297705,0.7453192109698897,0.15322359648034503,0.13197178082142216,0.09207631891289879,0.031410060354109884,13.961634628927188,24.477534660091777,1.3493781299174736,1.4170527133593354,0.026716763802242936,0.026716763802242936,0.08282786775010828,0.0,0.0,0.005824539451529811,0.0337537815657537
training,market_only,hybrid,0.7364042553191494,0.678068557919623,0.29161727946335514,0.05759695698366726,0.12843760093532067,0.08968656450194604,0.031447261976882586,13.135856859241061,25.123606840951137,1.000316446220632,1.0551425343914949,0.02169661108242491,0.021651935451795595,0.045220867542611384,0.0010945626477541378,0.004728132387706802,0.00802274067578447,0.04736313458425424
training,market_and_assets,naive,0.052531914893616874,0.025605200945626364,0.8115355874902709,0.16679645931352194,0.11726509497519932,0.08263923517968955,0.03180405318060789,13.689250933380272,24.58234464292098,1.3344518957125127,1.4735325037843396,0.02743497898316411,0.02743497898316411,0.09057460770664412,0.0,0.0,0.005482620780193111,0.03223478784087083
training,market_and_assets,hybrid,0.6168345153664319,0.5333309692671387,0.3580856551249929,0.07121656657051054,0.11581267110091378,0.08153658120054144,0.03178165266307611,12.917920966493714,25.195557617687058,1.0001768394544415,1.1113798499689296,0.02254006029740541,0.022505624202770337,0.04760971131818017,0.0007825059101654853,0.004728132387706802,0.007515611725631576,0.0449701192631224
holdout_2025,off,naive,0.8237596153846137,0.7014447115384586,0.9994273906517274,0.2035189450689144,0.07321518543612433,0.06683224851813246,0.07029179153814141,8.236708567674954,8.37136562795214,1.3608112096611058,1.5024964781650456,0.09065059110514108,0.09065059110514108,0.10266883236163557,0.0,0.0,0.011818620636391724,0.0431194972196479
holdout_2025,off,hybrid,0.8591923076923059,0.7875841346153818,0.8742168739510989,0.16891607075845694,0.07329826757219646,0.06687090727804813,0.0703070693650548,8.264933748908188,8.196701312958337,1.0004097437160142,1.1555586356743202,0.07526041757020799,0.07370264612758119,0.11236681462584704,0.020387019230769302,0.004807692307692422,0.01601437480691998,0.05959313214396071
holdout_2025,market_only,naive,0.8176370192307674,0.695992788461537,1.0085472071525492,0.20549141225882944,0.07346597975680527,0.06697877756552051,0.07031704232713311,8.21120844666901,8.408450955706213,1.3663815110813302,1.5077945116560036,0.09102324896193185,0.09102324896193185,0.10633446230700175,0.0,0.0,0.011902436669755937,0.04305329008341072
holdout_2025,market_only,hybrid,0.8588389423076894,0.7872475961538437,0.8755098558748531,0.1692551651303929,0.07525324501346826,0.06796280985494757,0.07041182833876704,8.229164125044548,8.287648162357948,1.0004536155561337,1.155593113010498,0.0772742091077781,0.0740946818047536,0.11843796997380449,0.02950240384615391,0.004807692307692422,0.016184796879827032,0.059563426784059494
holdout_2025,market_and_assets,naive,0.8026562499999965,0.6819374999999986,1.0550655780696194,0.21556423495521546,0.07672458505990266,0.06885087038002054,0.0705458663167812,8.15797475292456,8.407420470395472,1.3603204542325649,1.5815881475265656,0.09264319563021606,0.09264319563021606,0.10915605888417233,0.0,0.0,0.011701536916898337,0.04243509615384631
holdout_2025,market_and_assets,hybrid,0.8442836538461519,0.7721009615384601,0.9171221993271729,0.17851810179789965,0.07832297684769343,0.06972679623034694,0.07063548854113473,8.173277116622833,8.291177559816067,1.0003915967019552,1.229200872143753,0.07898795108167217,0.07594006642927838,0.12013177529405109,0.02856490384615392,0.004807692307692422,0.015887714318813743,0.05855103104726621
