window,kind,baseline,changed,metric,mean_difference,mc_se,mc_low,mc_high,n_market_replications
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,ks_pass,-0.010302600472813252,0.0003511087512861139,-0.010990773625334035,-0.00961442732029247,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,ad_pass,-0.0062033096926714,0.00021211714411542524,-0.006619059295137633,-0.005787560090205167,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,w1,0.06621637652038229,0.00027543351191247617,0.06567652683703383,0.06675622620373074,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,w1_standardized,0.013572862833176852,5.40700380745592e-5,0.013466885558550716,0.013678840107802988,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,abs_acf_mae25,-0.014706685846222655,6.053400650529988e-5,-0.014825332498973044,-0.014588039193472267,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,abs_acf_mae60,-0.00943708373320914,4.4323664132653754e-5,-0.009523958114909142,-0.009350209351509138,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,raw_acf_mae25,0.00039399282649798335,6.767041312528274e-6,0.00038072942552542794,0.00040725622747053876,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,kurtosis,-0.2723836955468879,0.05195498263103965,-0.37421546150372564,-0.1705519295900502,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,kurtosis_abs_error,0.1048099828292173,0.041165687007296545,0.024125236294916072,0.18549472936351852,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,variance_ratio_generator,-0.014926234204963713,0.0001160256266758162,-0.015153644433248313,-0.014698823976679112,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,variance_ratio_observed,0.05647979042500459,0.0003185900798707247,0.05585535386845797,0.05710422698155121,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,beta_abs_error,0.0007182151809211897,4.744590470194694e-5,0.0006252212077053738,0.0008112091541370057,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,beta_effective_abs_error,0.0007182151809211897,4.744590470194694e-5,0.0006252212077053738,0.0008112091541370057,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,r2_abs_error,0.007746739956535971,5.547531216560042e-5,0.007638008344691394,0.007855471568380549,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,clipped,0.0,0.0,0.0,0.0,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,tracker,0.0,0.0,0.0,0.0,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,var99_rate,-0.00034191867133668007,3.6806770525935735e-6,-0.0003491327983597635,-0.00033470454431359665,1000
training,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,var95_rate,-0.0015189937248828713,8.081079383892866e-6,-0.0015348326404753013,-0.0015031548092904413,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,ks_pass,-0.11956973995271884,0.0009016468484528646,-0.12133696777568646,-0.11780251212975122,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,ad_pass,-0.14473758865248246,0.0010247667295592707,-0.14674613144241863,-0.14272904586254628,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,w1,0.06646837566163759,0.00028171531974210636,0.06591621363494306,0.06702053768833212,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,w1_standardized,0.013619609586843395,5.567488158976366e-5,0.013510486818927457,0.013728732354759332,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,abs_acf_mae25,-0.012624929834406818,8.089056904840351e-5,-0.01278347534974169,-0.012466384319071946,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,abs_acf_mae60,-0.008149983301404555,5.938353986943506e-5,-0.008266375039548648,-0.008033591563260462,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,raw_acf_mae25,0.00033439068619353114,6.813991321561295e-6,0.00032103526320327103,0.00034774610918379125,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,kurtosis,-0.2179358927473371,0.05108450694755517,-0.3180615263645452,-0.11781025913012898,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,kurtosis_abs_error,0.07195077673590534,0.04032695525220129,-0.007090055558409192,0.15099160903021988,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,variance_ratio_generator,-0.0001396067661915321,4.004329987378985e-5,-0.00021809163394416022,-6.1121898438904e-5,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,variance_ratio_observed,0.05623731557743507,0.00031704206583059295,0.05561591312840711,0.05685871802646303,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,beta_abs_error,0.0008434492149805205,4.012160712587004e-5,0.0007648108650138152,0.0009220875649472258,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,beta_effective_abs_error,0.0008536887509747698,3.985778003201212e-5,0.000775567502112026,0.0009318099998375136,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,r2_abs_error,0.002388843775568829,0.0002904273246447455,0.0018196062192651278,0.0029580813318725303,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,clipped,-0.00031205673758865265,7.702785178734348e-5,-0.00046303132709184583,-0.00016108214808545945,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,tracker,0.0,0.0,0.0,0.0,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,var99_rate,-0.0005071289501529042,5.018049236980595e-6,-0.0005169643266573861,-0.0004972935736484223,1000
training,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,var95_rate,-0.0023930153211318018,1.1548620200937626e-5,-0.0024156506167256394,-0.002370380025537964,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,ks_pass,-0.014980769230769176,0.0006488828207305972,-0.016252579559401147,-0.013708958902137205,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,ad_pass,-0.014055288461538409,0.0006736610065610562,-0.015375664034398079,-0.01273491288867874,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,w1,0.04651837091707099,0.0007814584684018281,0.04498671231900341,0.04805002951513857,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,w1_standardized,0.010072822696385904,0.00016925377557441699,0.009741085296260048,0.01040456009651176,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,abs_acf_mae25,0.003258605303097462,4.438752335949615e-5,0.0031716057573128497,0.0033456048488820743,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,abs_acf_mae60,0.0018720928144999262,2.7400860187089586e-5,0.0018183871285332306,0.0019257985004666218,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,raw_acf_mae25,0.00022882398964798906,2.1433070747425682e-5,0.00018681517098303473,0.0002708328083129434,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,kurtosis,-0.053233693744470525,0.02182417699413385,-0.09600908065297287,-0.010458306835968184,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,kurtosis_abs_error,-0.0010304853107419927,0.020236644155363144,-0.040694307855253756,0.03863333723376977,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,variance_ratio_generator,-0.006061056848767439,0.00031395105762685406,-0.006676400921716072,-0.005445712775818805,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,variance_ratio_observed,0.07379363587055804,0.006012617603338175,0.06200890536801522,0.08557836637310086,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,beta_abs_error,0.0016199466682842814,0.0001779008889759242,0.00127126092589147,0.0019686324106770927,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,beta_effective_abs_error,0.0016199466682842814,0.0001779008889759242,0.00127126092589147,0.0019686324106770927,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,r2_abs_error,0.002821596577170685,0.00012168907734515351,0.002583085985574184,0.003060107168767186,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,clipped,0.0,0.0,0.0,0.0,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,tracker,0.0,0.0,0.0,0.0,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,var99_rate,-0.0002008997528575841,1.612712436663658e-5,-0.00023250891661619178,-0.00016929058909897641,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/naive,market_and_assets/naive,var95_rate,-0.0006181939295644122,2.4887289855197838e-5,-0.0006669730176805999,-0.0005694148414482244,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,ks_pass,-0.01455528846153841,0.0006398785241399028,-0.015809450368852618,-0.0133011265542242,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,ad_pass,-0.01514663461538457,0.0007368106066271737,-0.01659078340437383,-0.01370248582639531,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,w1,0.04161234345232087,0.0008065043893763743,0.040031594849143176,0.043193092055498566,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,w1_standardized,0.009262936667506492,0.00017455327997931565,0.008920812238747033,0.009605061096265952,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,abs_acf_mae25,0.0030697318342252557,4.579252445717808e-5,0.0029799784862891868,0.0031594851821613247,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,abs_acf_mae60,0.0017639863753993838,2.81299475109473e-5,0.001708851678277927,0.0018191210725208406,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,raw_acf_mae25,0.00022366020236771312,2.0606546832578156e-5,0.00018327137057585994,0.0002640490341595663,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,kurtosis,-0.05588700842172381,0.021019490415467263,-0.09708520963603964,-0.014688807207407978,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,kurtosis_abs_error,0.003529397458122977,0.019710507267660198,-0.035103196786491014,0.04216199170273696,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,variance_ratio_generator,-6.2018854179409e-5,0.00012357787167799352,-0.0003042314826682763,0.00018019377430945834,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,variance_ratio_observed,0.07360775913325739,0.00600731862745228,0.06183341462345092,0.08538210364306385,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,beta_abs_error,0.0017137419738939544,0.00015901185626733926,0.0014020787356099694,0.0020254052121779394,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,beta_effective_abs_error,0.0018453846245247343,0.00015545908755352014,0.0015406848129198348,0.0021500844361296337,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,r2_abs_error,0.0016938053202466272,0.00019643598992579733,0.0013087907799920644,0.00207881986050119,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,clipped,-0.000937499999999998,0.00029365145747769464,-0.0015130568566562794,-0.00036194314334371655,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,tracker,0.0,0.0,0.0,0.0,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,var99_rate,-0.00029708256101328666,2.1433400234724817e-5,-0.0003390920254733473,-0.000255073096553226,1000
holdout_2025,asset_jumps_given_market_jumps,market_only/hybrid,market_and_assets/hybrid,var95_rate,-0.0010123957367933244,3.900500668630338e-5,-0.001088845549898479,-0.0009359459236881698,1000
