window,scenario,method,n_assets,acf25_improved_fraction,acf60_improved_fraction,ks_improved_fraction,w1_improved_fraction
training,market_only,naive,423,0.9952718676122931,0.9952718676122931,0.061465721040189124,0.0
training,market_only,hybrid,423,0.9952718676122931,0.9952718676122931,0.4066193853427896,0.23404255319148937
training,market_and_assets,naive,423,0.966903073286052,0.9479905437352246,0.037825059101654845,0.0
training,market_and_assets,hybrid,423,0.9692671394799054,0.950354609929078,0.004728132387706856,0.0
holdout_2025,market_only,naive,416,0.2956730769230769,0.32211538461538464,0.25,0.10096153846153846
holdout_2025,market_only,hybrid,416,0.026442307692307692,0.038461538461538464,0.4423076923076923,0.4110576923076923
holdout_2025,market_and_assets,naive,416,0.01201923076923077,0.007211538461538462,0.09134615384615384,0.028846153846153848
holdout_2025,market_and_assets,hybrid,416,0.004807692307692308,0.0,0.14182692307692307,0.052884615384615384
