composer,alpha_level,mean_rate,sd_rate,mean_kupiec_p,kupiec_pass_rate
naive,0.95,0.03547130898840911,0.005240819232024012,0.03184870841161654,0.10399527186761229
gaussian,0.95,0.04060036683196488,0.0076098778783649755,0.16703982215291702,0.42595744680851066
hybrid,0.95,0.04750230338336768,0.005575734600053673,0.37236142469229094,0.8037352245862884
residual_jumphmm,0.95,0.048698806343152115,0.005464489425247711,0.3987007810231212,0.8400472813238771
block_bootstrap,0.95,0.047768598431819874,0.006379980867481407,0.35334726210996936,0.7665011820330969
garch_t,0.95,0.046413446448055215,0.009283291859976518,0.3119046870940757,0.6896437659033079
naive,0.99,0.006691452610130633,0.002263829117287752,0.17929687321442705,0.4516548463356974
gaussian,0.99,0.013951144341369357,0.002947068627656447,0.16131301559560815,0.47033096926713946
hybrid,0.99,0.00949117022131307,0.0026919082904163635,0.37433725271988477,0.7972104018912529
residual_jumphmm,0.99,0.009949778550415811,0.0026211105755198708,0.39478470026226564,0.8294326241134752
block_bootstrap,0.99,0.010869935334328224,0.0024793595275110383,0.4175390294168135,0.8596926713947991
garch_t,0.99,0.01089447655003785,0.0035325551828038746,0.3310622353080947,0.7209923664122138
