ticker,reason
ALB,Model is nonstationary.
ALL,Model is nonstationary.
AMAT,Model is nonstationary.
BIO,Model is nonstationary.
CCI,Model is nonstationary.
CCL,Model is nonstationary.
CF,Model is nonstationary.
CRL,Model is nonstationary.
CVS,Model is nonstationary.
DHR,Model is nonstationary.
DVA,Model is nonstationary.
EMN,Model is nonstationary.
EXPD,Model is nonstationary.
F,Model is nonstationary.
GE,Model is nonstationary.
GM,Model is nonstationary.
INTC,Model is nonstationary.
MMM,Model is nonstationary.
MOS,Model is nonstationary.
NWL,Model is nonstationary.
OXY,Model is nonstationary.
PSX,Model is nonstationary.
SNPS,Model is nonstationary.
SWK,Model is nonstationary.
TER,Model is nonstationary.
UPS,Model is nonstationary.
VFC,Model is nonstationary.
WDC,Model is nonstationary.
WFC,Model is nonstationary.
WHR,Model is nonstationary.
