composer,alpha_level,mean_rate,sd_rate,kupiec_pass_rate
block_bootstrap,0.95,0.06127732082174852,0.025604287905840233,0.6365384615384613
garch_t,0.95,0.05786982125392765,0.024712523441834486,0.6244818652849741
gaussian,0.95,0.049475691226444275,0.02261126326485264,0.6998317307692303
hybrid,0.95,0.059667902378745724,0.024315728024878774,0.6626682692307693
naive,0.95,0.04368107043558846,0.021495319678431334,0.6576201923076923
residual_jumphmm,0.95,0.06066043018226749,0.025937784447068946,0.6696874999999995
block_bootstrap,0.99,0.01840149057769541,0.010077006342282233,0.7343509615384617
garch_t,0.99,0.01802380506481886,0.010178995128467174,0.7197668393782385
gaussian,0.99,0.020311727679950563,0.011695539753851156,0.7205528846153851
hybrid,0.99,0.016688774328081562,0.009299349102473408,0.7337259615384613
naive,0.99,0.01207464473277725,0.00761382366060386,0.7892548076923085
residual_jumphmm,0.99,0.016709530429409945,0.009509614832832903,0.7452403846153844
