composer,n_tickers,ks_is_matched,ks_oos,ad_is_matched,ad_oos,w1_oos,var_ratio_oos,kurt_error_oos
naive,416,69.42307692307692,83.51923076923077,54.79567307692308,71.55528846153847,0.8766819565446751,1.2863400289480458,3.946751786447036
gaussian,416,57.35096153846154,73.8798076923077,44.90144230769231,64.5576923076923,0.8656388328777265,0.9741467663212974,5.586075856106101
hybrid,416,78.78365384615384,86.97836538461539,66.22596153846153,79.71634615384616,0.7158641900215146,0.9696056029253487,3.7532116665297948
residual_jumphmm,416,77.94711538461539,86.23798076923077,65.64423076923077,80.09375,0.7082235183508055,0.9777362473655324,3.6844432348592164
block_bootstrap,416,76.32932692307692,84.03846153846153,64.0,76.48798076923077,0.715381971871749,0.8983123918167288,3.971173510405423
garch_t,386,74.50777202072538,82.56994818652849,62.619170984455955,75.0440414507772,0.7326137648304287,0.9051852886336743,3.8320101647250406
